ObjectName,Frequency
pepper shaker,3
peppers,1
pestle,1
picture,47
picture crop,2
pineapple,1
pinecone,1
pinecones,1
pipe,7
pipes,1
pitcher,22
place mat,2
place mat crop,1
placemat,1
plae,1
plant,50
plant pot,5
plantpot,29
plants,4
plate,37
plate crop,2
plate mat,1
plate rack,1
plates,8
plates rack,1
platter,2
plug,7
pot,54
pot hanger,1
pot holder,1
pot lid,1
pot of herbs,1
pot rack,1
pots,1
pressure washer,1
processing machine,1
pumpkin,1
purse,2
rabbit,1
rack,4
radiator,6
radiator crop,2
radio,2
railing,3
range,73
range crop,1
razor,1
refrigerator,82
refrigerator crop,5
ribbon,1
rock,1
rug,39
rug crop,2
salt,3
salt and pepper,2
saltcellar,2
saucepan,7
scales,7
sconce,20
sconce crop,1
sculpture,4
semi-flush mount light,7
shaker,1
shampoo,1
shaving brush,1
shelf,36
shelf crop,2
shell,4
shelves,21
shoe,1
shower,11
shower curtain,2
shower door,1
shower screen,28
shutter,2
side,1
side table,4
side table crop,1
sideboard,2
sign,4
sill,1
sink,228
sink crop,17
skimmer,2
skirting board,1
skylight,1
sliding door,1
small chair,1
soap,20
soap bottle,16
soap dish,22
soap dispenser,37
soaps,1
sofa,7
sofa crop,1
spatula,1
speaker,1
spice rack,3
spices,1
sponge,4
sponges,1
spoon,7
spoons,3
spray,1
stairs,1
stall shower,13
statue,2
step,12
stereo,1
stoo,1
stool,18
stool crop,2
stove,40
stove crop,3
strainer,1
sugar bowl,3
sweater,1
switch,19
table,39
table crop,14
table lamp,7
table runner,1
tap,2
taper,1
tapestry,1
teacup,4
teacup set,1
teapot,15
telephone,17
telephone crop,1
television,7
tin,1
tins,1
tissue box,22
tissue dispenser,1
toaster,28
toaster oven,3
toilet,69
toilet brush,2
toilet crop,20
toilet kit,1
toilet paper,40
toilet paper holder,4
toilet paper rolls,1
toolbox,1
tooth brush,1
toothbrush,3
toothpaste,1
towel,75
towel crop,3
towel dispenser,2
towel rack,12
towel radiator,1
towel rail,1
towel ring,8
towels,11
tower,1
toy,3
trash bag,1
trash can,16
trash can crop,2
tray,32
trays,2
tree,1
trees,1
trunk,1
tube,6
tureen,3
turtle,1
twizlers,1
umbrella,1
urn,2
utensils,2
utensils canister,13
vanity,1
vase,49
vase crop,1
vent,2
vinegar jar,1
wall,303
wall recessed light,1
wardrobe,3
washing machine,4
water cooler,1
water tank,1
water valve,1
watering can,1
whisk,1
window,129
window crop,10
windows,2
wine rack,1
wisk,1
wok,1
wood,1
wooden cutlery,1
wooden utensils,1
worktop,143
wreath,1
